Pin Designator,Net Name
1,VDD
2,redundancy_sel_CSR
3,redundancy_sel_RF
4,redundancy_sel_IC
5,scan_in_if_p
6,scan_in_if_r
7,scan_out_if_p
8,scan_out_if_r
9,scan_in_id_p
10,scan_in_id_r
11,scan_out_id_p
12,VSS
13,scan_out_id_r
14,scan_in_ex_p
15,scan_in_ex_r
16,scan_out_ex_p
17,scan_out_ex_r
18,scan_in_wb_p
19,scan_in_wb_r
20,scan_out_wb_p
21,scan_out_wb_r
22,scan_in_ls_p
23,scan_in_ls_r
24,scan_out_ls_p
25,scan_out_ls_r
26,scan_in_cs_p
27,VDD
28,scan_in_cs_r
29,scan_out_cs_p
30,scan_out_cs_r
31,scan_in_rf_p
32,scan_in_rf_r
