Pin Designator,Net Name
1,serdes_instr_addr_o[3]
2,serdes_instr_addr_o[2]
3,serdes_instr_addr_o[1]
4,serdes_instr_addr_o[0]
5,serdes_instr_rdata_i[15]
6,VDD
7,serdes_instr_rdata_i[14]
8,serdes_instr_rdata_i[13]
9,serdes_instr_rdata_i[12]
10,serdes_instr_rdata_i[11]
11,serdes_instr_rdata_i[10]
12,serdes_instr_rdata_i[9]
13,serdes_instr_rdata_i[8]
14,VSS
15,serdes_instr_rdata_i[7]
16,serdes_instr_rdata_i[6]
17,serdes_instr_rdata_i[5]
18,serdes_instr_rdata_i[4]
19,serdes_instr_rdata_i[3]
20,serdes_instr_rdata_i[2]
21,serdes_instr_rdata_i[1]
22,serdes_instr_rdata_i[0]
23,VDD
24,instr_err_i
25,data_req_o
26,VSS
27,
28,
29,
30,
31,
32,
