Pin Designator,Net Name
1,VSS
2,serdes_data_rdata_i[12]
3,serdes_data_rdata_i[11]
4,serdes_data_rdata_i[10]
5,serdes_data_rdata_i[9]
6,serdes_data_rdata_i[8]
7,serdes_data_rdata_i[7]
8,VDD
9,serdes_data_rdata_i[6]
10,serdes_data_rdata_i[5]
11,serdes_data_rdata_i[4]
12,serdes_data_rdata_i[3]
13,VSS
14,serdes_data_rdata_i[2]
15,serdes_data_rdata_i[1]
16,serdes_data_rdata_i[0]
17,data_err_i
18,irq_software_i
19,VDD
20,irq_timer_i
21,irq_external_i
22,irq_fast_i[14]
23,irq_fast_i[13]
24,irq_fast_i[12]
25,VSS
26,irq_fast_i[11]
27,irq_fast_i[10]
28,irq_fast_i[9]
29,irq_fast_i[8]
30,irq_fast_i[7]
31,VDD
32,irq_fast_i[6]
