Pin Designator,Net Name
1,serdes_data_wdata_o[7]
2,serdes_data_wdata_o[6]
3,serdes_data_wdata_o[5]
4,serdes_data_wdata_o[4]
5,serdes_data_wdata_o[3]
6,serdes_data_wdata_o[2]
7,serdes_data_wdata_o[1]
8,serdes_data_wdata_o[0]
9,data_wdata_integ_o[6]
10,VSS
11,data_wdata_integ_o[5]
12,data_wdata_integ_o[4]
13,data_wdata_integ_o[3]
14,data_wdata_integ_o[2]
15,data_wdata_integ_o[1]
16,data_wdata_integ_o[0]
17,serdes_data_rdata_i[15]
18,serdes_data_rdata_i[14]
19,serdes_data_rdata_i[13]
20,VDD
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
