Pin Designator,Net Name
1,scan_out_db1_r
3,scan_in_db1_r
5,scan_out_rf_r
7,scan_in_rf_r
9,scan_out_cs_r
11,scan_in_cs_r
13,scan_out_ls_r
15,scan_in_ls_r
17,scan_out_wb_r
19,scan_in_wb_r
21,scan_out_ex_r
23,scan_in_ex_r
25,scan_out_id_r
27,scan_in_id_r
29,scan_out_if_r
31,scan_in_if_r
35,scan_out_db1_p
37,scan_in_db1_p
39,scan_out_rf_p
41,scan_in_rf_p
43,scan_out_cs_p
45,scan_in_cs_p
47,scan_out_ls_p
49,scan_in_ls_p
51,scan_out_wb_p
53,scan_in_wb_p
55,scan_out_ex_p
57,scan_in_ex_p
59,scan_out_id_p
61,scan_in_id_p
63,scan_out_if_p
65,scan_in_if_p
2,VSS
4,VSS
6,VSS
8,VSS
10,VSS
12,VSS
14,VSS
16,VSS
18,VSS
20,VSS
22,VSS
24,VSS
26,VSS
28,VSS
30,RESERVED
32,VSS
34,VSS
36,VSS
38,VSS
40,VSS
42,VSS
44,VSS
46,VSS
48,VSS
50,VSS
52,VSS
54,VSS
56,VSS
58,VSS
60,RESERVED
62,VSS
64,CAL_GND_OR_DGS
66,VSS
67,CAL_FORCE
68,VSS
